Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SCADA_FCU_22_1_EC_Fan_FB_MA_Status","D1000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Run_Status","D1000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Trip_Status","D1000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Command","D1000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Fail_to_Start","D1000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Fail_to_Stop","D1000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Ready","D1000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Priority","D1002",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_VSD_Speed_Input","D1003",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Run_Hours","D1007",DWord,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Mode","D1011",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Ovrd_Speed_Ctrl_Val","D1015",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Reset","D1037",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Ovrd_Speed_Ctrl","D1038",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CO2_FB_Process_Value","D1050",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CO2_FB_Health","D1053.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RH_FB_Process_Value","D1100",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RH_FB_Health","D1103.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RA_Temp_FB_Process_Value","D1150",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RA_Temp_FB_Health","D1153.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_FB_Process_Value","D1200",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_DP_Filter_SwitchTriggered","D1250.00",Boolean,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Mode","D1319",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Ovrd_Val","D1320",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_FlowRate","D1306",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_CHWS_Temp","D1308",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_CHWR_Temp","D1310",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Volume","D1312",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Reset","D1323",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_SlaveHealth","D1300.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_PositionFeedback","D1304",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Power","D1314",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Energy","D1316",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Ovrd_Ctrl","D1324",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_ControlMode","D1322",Word,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_SlaveReady","D1300.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_TIC_FB_Process_Value","D1351",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_TIC_Ctrl_Control_Output","D1354",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_TIC_Ctrl_Setpoint","D1356",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_VSD_TIC_FB_Process_Value","D1401",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_VSD_TIC_Ctrl_Control_Output","D1404",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_VSD_TIC_Ctrl_Setpoint","D1406",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_Temperature","D1452",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Setpoint","D1458",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Mode","D1457",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_SlaveReady","D1450.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_SlaveHealth","D1450.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V1_V2","D1504",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V2_V3","D1506",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V3_V1","D1508",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_1","D1510",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_2","D1512",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_3","D1514",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Power_Factor","D1516",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Frequency","D1518",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Energy_Consumption","D1522",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Active_Power","D1520",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_SlaveHealth","D1501.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Avg_Voltage","D1502",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_SlaveReady","D1501.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_MA_Status","D2000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Run_Status","D2000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Trip_Status","D2000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Command","D2000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Fail_to_Start","D2000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Fail_to_Stop","D2000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Ready","D2000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Priority","D2002",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_VSD_Speed_Input","D2003",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_FB_Run_Hours","D2007",DWord,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_Ctrl_Mode","D2011",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_Ctrl_Ovrd_Speed_Ctrl_Val","D2015",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_Ctrl_Reset","D2037",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_EC_Fan_Ctrl_Ovrd_Speed_Ctrl","D2038",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_CO2_FB_Process_Value","D2050",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_CO2_FB_Health","D2053.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_RH_FB_Process_Value","D2100",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_RH_FB_Health","D2103.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_RA_Temp_FB_Process_Value","D2150",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_RA_Temp_FB_Health","D2153.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_SA_Temp_FB_Process_Value","D2200",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_2_DP_Filter_SwitchTriggered","D2250.00",Boolean,1,R/W,1000,,,,,,,,,,"",
