Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"FB_E_Stop_FB_MA_Status","D2000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Run_Status","D2000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Trip_Status","D2000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Command","D2000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Fail_to_Start","D2000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Fail_to_Stop","D2000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Interlock","D2000.07",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Ready","D2000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_State","D2001",Short,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Priority","D2002",Short,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_VSD_Speed_Input","D2003",Float,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_VSD_Speed_Control","D2005",Float,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Run_Hours","D2007",DWord,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Start_Time","D2009",Short,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Stop_Time","D2010",Short,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Mode","D2011",Short,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Reset","D2012.00",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Initialize","D2012.01",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Bypass_Interlock","D2012.02",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Simulate_Mode","D2012.03",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Simulate_MA_Mode","D2012.04",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Simulate_Run_Status","D2012.05",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Simulate_Trip","D2012.06",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Ovrd_Speed_Ctrl","D2012.07",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Fail_to_Stop_SP","D2013",Short,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Fail_to_Start_SP","D2014",Short,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Ovrd_Speed_Ctrl_Val","D2015",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SI_EU_Max","D2017",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SI_EU_Min","D2019",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SI_RAW_Max","D2021",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SI_RAW_Min","D2023",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SC_EU_Max","D2025",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SC_EU_Min","D2027",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SC_RAW_Max","D2029",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_SC_RAW_Min","D2031",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_MaxSpeed","D2033",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_MinSpeed","D2035",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_FB_E_Stop","D2000.03",Boolean,1,RO,1000,,,,,,,,,,"",
"Ctrl_Alarm_LL_Delay_FB_Process_Value","D2150",Float,1,RO,1000,,,,,,,,,,"",
"Ctrl_Alarm_LL_Delay_FB_State","D2152",Short,1,RO,1000,,,,,,,,,,"",
