DDC-22-1B (Y2025-M06-D01),,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Label Name,Data Type,Constant,Initial Value,Assign (Device/Label),Address,Comment,Comment 2,Comment 3,Comment 4,Comment 5,Japanese/???,English,Chinese Simplified/????,Korean/???,Chinese Traditional/????,German/Deutsch,Italian/Italiano,Reserved1,Reserved2,Reserved3,Reserved4,Remark,System Label Relation,System Label Name,Attribute
Yes,FB_Process_Value,REAL,,,,,,,,,,,Feedback: Process variable in engineering units,,,,,,,,,,,,,
Yes,FB_Alarm_State,INT,,,,,,,,,,,"Feedback: Enumerated alarm state (2=LL, 3=L, 5=Normal, 7=H, 8=HH, 99 = Transmitter Fault)",,,,,,,,,,,,,
Yes,FB_Health,BOOL,,,,,,,,,,,Feedback: Sensor health status (1=Healthy),,,,,,,,,,,,,
,FB_Alarm_HH,BOOL,,,,,,,,,,,Feedback: High-high alarm status (1=Active),,,,,,,,,,,,,
,FB_Alarm_H,BOOL,,,,,,,,,,,Feedback: High alarm status (1=Active),,,,,,,,,,,,,
,FB_Alarm_L,BOOL,,,,,,,,,,,Feedback: Low alarm status (1=Active),,,,,,,,,,,,,
,FB_Alarm_LL,BOOL,,,,,,,,,,,Feedback: Low-low alarm status (1=Active),,,,,,,,,,,,,
,Ctrl_Initialize,INT,,,,,,,,,,,Control: Initialize/reset sensor settings,,,,,,,,,,,,,
,Ctrl_Override_Health,INT,,,,,,,,,,,Control: Override health status (1=Override active),,,,,,,,,,,,,
,Ctrl_Manual_Override,INT,,,,,,,,,,,Control: Override process value enable (1=Override active),,,,,,,,,,,,,
Yes,Ctrl_Alarm_H_Enabled,INT,,,,,,,,,,,Control: High alarm enable (1=Enabled),,,,,,,,,,,,,
Yes,Ctrl_Alarm_L_Enabled,INT,,,,,,,,,,,Control: Low alarm enable (1=Enabled),,,,,,,,,,,,,
,Ctrl_Alarm_HH_Enabled,INT,,,,,,,,,,,Control: High-high alarm enable (1=Enabled),,,,,,,,,,,,,
,Ctrl_Alarm_LL_Enabled,INT,,,,,,,,,,,Control: Low-low alarm enable (1=Enabled),,,,,,,,,,,,,
,Ctrl_Override_Process_Value,REAL,,,,,,,,,,,Control: Override process value,,,,,,,,,,,,,
,Ctrl_Offset_Process_Value,REAL,,,,,,,,,,,Control: Process value offset adjustment,,,,,,,,,,,,,
,Ctrl_Alarm_HH_SP,REAL,,,,,,,,,,,Control: High-high alarm setpoint,,,,,,,,,,,,,
,Ctrl_Alarm_HH_Delay,WORD,,,,,,,,,,,Control: High-high alarm delay in seconds,,,,,,,,,,,,,
Yes,Ctrl_Alarm_H_SP,REAL,,,,,,,,,,,Control: High alarm setpoint,,,,,,,,,,,,,
,Ctrl_Alarm_H_Delay,WORD,,,,,,,,,,,Control: High alarm delay in seconds,,,,,,,,,,,,,
Yes,Ctrl_Alarm_L_SP,REAL,,,,,,,,,,,Control: Low alarm setpoint,,,,,,,,,,,,,
,Ctrl_Alarm_L_Delay,WORD,,,,,,,,,,,Control: Low alarm delay in seconds,,,,,,,,,,,,,
,Ctrl_Alarm_LL_SP,REAL,,,,,,,,,,,Control: Low-low alarm setpoint,,,,,,,,,,,,,
,Ctrl_Alarm_LL_Delay,WORD,,,,,,,,,,,Control: Low-low alarm delay in seconds,,,,,,,,,,,,,
,Ctrl_Hold_Last_Value,INT,,,,,,,,,,,Control: Freeze process value at last value (1=hold),,,,,,,,,,,,,
