DDC-22-1B (Y2025-M06-D01),,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Label Name,Data Type,Constant,Initial Value,Assign (Device/Label),Address,Comment,Comment 2,Comment 3,Comment 4,Comment 5,Japanese/???,English,Chinese Simplified/????,Korean/???,Chinese Traditional/????,German/Deutsch,Italian/Italiano,Reserved1,Reserved2,Reserved3,Reserved4,Remark,System Label Relation,System Label Name,Attribute
Yes,FB_MA_Status,BOOL,,,,,,,,,,,Feedback: Manual/Auto selector switch status (0=Manual | 1=Auto),,,,,,,,,,,,,
Yes,FB_Run_Status,BOOL,,,,,,,,,,,Feedback: Run status (0=Stopped | 1=Running),,,,,,,,,,,,,
Yes,FB_Trip_Status,BOOL,,,,,,,,,,,Feedback: Trip status (0=Healthy | 1=Tripped),,,,,,,,,,,,,
,FB_E_Stop,BOOL,,,,,,,,,,,Feedback: Emergency stop status (0=Triggered | 1=Not triggered),,,,,,,,,,,,,
Yes,FB_Command,BOOL,,,,,,,,,,,Feedback: Motor command output (0=Stop | 1=Start),,,,,,,,,,,,,
Yes,FB_Fail_to_Start,BOOL,,,,,,,,,,,Feedback: Fail to start alarm status,,,,,,,,,,,,,
Yes,FB_Fail_to_Stop,BOOL,,,,,,,,,,,Feedback: Fail to stop alarm status,,,,,,,,,,,,,
,FB_Interlock,BOOL,,,,,,,,,,,Feedback: Interlock status (0=Prevent run | 1=Allow run),,,,,,,,,,,,,
Yes,FB_Ready,BOOL,,,,,,,,,,,Feedback: Equipment ready status (1=Ready in Auto mode),,,,,,,,,,,,,
Yes,FB_State,INT,,,,,,,,,,,Feedback: Operating state (0=Stop | 1=Run | 2=Maintenance | 3=Fault),,,,,,,,,,,,,
Yes,FB_Priority,INT,,,,,,,,,,,Feedback: Equipment priority for sequencing,,,,,,,,,,,,,
Yes,FB_Speed_Feedback,REAL,,,,,,,,,,,Feedback: Speed feedback (frequency in Hz),,,,,,,,,,,,,
,FB_Speed_Control,REAL,,,,,,,,,,,Feedback: Speed control output (percent),,,,,,,,,,,,,
Yes,FB_Run_Hours,DWORD,,,,,,,,,,,Feedback: Accumulated run hours,,,,,,,,,,,,,
,FB_Start_Time,INT,,,,,,,,,,,Feedback: Last start timestamp,,,,,,,,,,,,,
,FB_Stop_Time,INT,,,,,,,,,,,Feedback: Last stop timestamp,,,,,,,,,,,,,
Yes,Ctrl_Mode,INT,,,,,,,,,,,Control: Operating mode (0=Override stop | 1=Override start | 2=Auto | 3=Maintenance),,,,,,,,,,,,,
,Ctrl_Initialize,INT,,,,,,,,,,,Control: Initialize function block (resets to defaults),,,,,,,,,,,,,
,Ctrl_Bypass_Interlock,INT,,,,,,,,,,,Control: Bypass interlock (1=Bypass active),,,,,,,,,,,,,
,Ctrl_Simulate_Mode,INT,,,,,,,,,,,Control: Simulation mode enable (1=Simulation active),,,,,,,,,,,,,
,Ctrl_Simulate_MA_Mode,INT,,,,,,,,,,,Control: Simulate MA switch (0=Manual | 1=Auto),,,,,,,,,,,,,
,Ctrl_Simulate_Run_Status,INT,,,,,,,,,,,Control: Simulate run status (0=Stopped | 1=Running),,,,,,,,,,,,,
,Ctrl_Simulate_Trip,INT,,,,,,,,,,,Control: Simulate trip (0=Normal | 1=Tripped),,,,,,,,,,,,,
,Ctrl_Fail_to_Stop_SP,INT,,,,,,,,,,,Control: Fail to stop timeout in seconds,,,,,,,,,,,,,
,Ctrl_Fail_to_Start_SP,INT,,,,,,,,,,,Control: Fail to start timeout in seconds,,,,,,,,,,,,,
Yes,Ctrl_Value_Override,REAL,,,,,,,,,,,Control: Manual Override VSD speed control value,,,,,,,,,,,,,
,Ctrl_SI_EU_Max,REAL,,,,,,,,,,,Control: Speed input upper engineering units limit (Hz),,,,,,,,,,,,,
,Ctrl_SI_EU_Min,REAL,,,,,,,,,,,Control: Speed input lower engineering units limit (Hz),,,,,,,,,,,,,
,Ctrl_SI_RAW_Max,REAL,,,,,,,,,,,Control: Speed input upper raw signal limit (mA),,,,,,,,,,,,,
,Ctrl_SI_RAW_Min,REAL,,,,,,,,,,,Control: Speed input lower raw signal limit (mA),,,,,,,,,,,,,
,Ctrl_SC_EU_Max,REAL,,,,,,,,,,,Control: Speed output upper engineering units limit (%),,,,,,,,,,,,,
,Ctrl_SC_EU_Min,REAL,,,,,,,,,,,Control: Speed output lower engineering units limit (%),,,,,,,,,,,,,
,Ctrl_SC_RAW_Max,REAL,,,,,,,,,,,Control: Speed output upper raw signal limit (mA),,,,,,,,,,,,,
,Ctrl_SC_RAW_Min,REAL,,,,,,,,,,,Control: Speed output lower raw signal limit (mA),,,,,,,,,,,,,
,Ctrl_MaxSpeed,REAL,,,,,,,,,,,Control: Maximum speed limit (%),,,,,,,,,,,,,
,Ctrl_MinSpeed,REAL,,,,,,,,,,,Control: Minimum speed limit (%),,,,,,,,,,,,,
Yes,Ctrl_Reset,INT,,,,,,,,,,,Control: Reset equipment and fault alarms,,,,,,,,,,,,,
Yes,Ctrl_Manual_Override,INT,,,,,,,,,,,Control: Manual Override Bit for the Speed Control,,,,,,,,,,,,,
