DYS-PIO-FCU (Y2025-M01-D08),,
Class,Label Name,Data Type
Yes,FB_MA_Status,BOOL
Yes,FB_Run_Status,BOOL
Yes,FB_Trip_Status,BOOL
Yes,FB_E_Stop,BOOL
Yes,FB_Command,BOOL
Yes,FB_Fail_to_Start,BOOL
Yes,FB_Fail_to_Stop,BOOL
,FB_Interlock,BOOL
Yes,FB_Ready,BOOL
,FB_State,INT
Yes,FB_Priority,INT
Yes,FB_VSD_Speed_Input,REAL
Yes,FB_VSD_Speed_Control,REAL
Yes,FB_Run_Hours,DWORD
,FB_Start_Time,INT
,FB_Stop_Time,INT
Yes,Ctrl_Mode,INT
Yes,Ctrl_Reset,BOOL
,Ctrl_Initialize,BOOL
,Ctrl_Bypass_Interlock,BOOL
,Ctrl_Simulate_Mode,BOOL
,Ctrl_Simulate_MA_Mode,BOOL
,Ctrl_Simulate_Run_Status,BOOL
,Ctrl_Simulate_Trip,BOOL
Yes,Ctrl_Ovrd_Speed_Ctrl,BOOL
,Ctrl_Fail_to_Stop_SP,INT
,Ctrl_Fail_to_Start_SP,INT
Yes,Ctrl_Ovrd_Speed_Ctrl_Val,REAL
,Ctrl_SI_EU_Max,REAL
,Ctrl_SI_EU_Min,REAL
,Ctrl_SI_RAW_Max,REAL
,Ctrl_SI_RAW_Min,REAL
,Ctrl_SC_EU_Max,REAL
,Ctrl_SC_EU_Min,REAL
,Ctrl_SC_RAW_Max,REAL
,Ctrl_SC_RAW_Min,REAL
,Ctrl_MaxSpeed,REAL
,Ctrl_MinSpeed,REAL
