DDC-22-1B (Y2025-M06-D01),,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Label Name,Data Type,Constant,Initial Value,Assign (Device/Label),Address,Comment,Comment 2,Comment 3,Comment 4,Comment 5,Japanese/???,English,Chinese Simplified/????,Korean/???,Chinese Traditional/????,German/Deutsch,Italian/Italiano,Reserved1,Reserved2,Reserved3,Reserved4,Remark,System Label Relation,System Label Name,Attribute
Yes,FB_SlaveHealth,BOOL,,,,,,,,,,,Feedback: Slave health status (1=Healthy),,,,,,,,,,,,,
,FB_SlaveID,INT,,,,,,,,,,,Feedback: Slave device identification number,,,,,,,,,,,,,
Yes,FB_Avg_Voltage,REAL,,,,,,,,,,,Feedback: Average voltage measurement,,,,,,,,,,,,,
Yes,FB_Voltage_L1_L2,REAL,,,,,,,,,,,Feedback: Phase voltage V1-V2,,,,,,,,,,,,,
Yes,FB_Voltage_L2_L3,REAL,,,,,,,,,,,Feedback: Phase voltage V2-V3,,,,,,,,,,,,,
Yes,FB_Voltage_L3_L1,REAL,,,,,,,,,,,Feedback: Phase voltage V3-V1,,,,,,,,,,,,,
Yes,FB_Current_L1,REAL,,,,,,,,,,,Feedback: Phase current 1,,,,,,,,,,,,,
Yes,FB_Current_L2,REAL,,,,,,,,,,,Feedback: Phase current 2,,,,,,,,,,,,,
Yes,FB_Current_L3,REAL,,,,,,,,,,,Feedback: Phase current 3,,,,,,,,,,,,,
Yes,FB_Power_Factor,REAL,,,,,,,,,,,Feedback: Power factor measurement,,,,,,,,,,,,,
Yes,FB_Frequency,REAL,,,,,,,,,,,Feedback: Frequency measurement,,,,,,,,,,,,,
Yes,FB_Active_Power,REAL,,,,,,,,,,,Feedback: Active power consumption,,,,,,,,,,,,,
Yes,FB_Energy_Consumption,REAL,,,,,,,,,,,Feedback: Accumulated energy consumption,,,,,,,,,,,,,
,Ctrl_Slave_Enabled,INT,,,,,,,,,,,Control: Enable/disable slave device (1=Enabled),,,,,,,,,,,,,
