DDC-22-1B (Y2025-M06-D01),,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Label Name,Data Type,Constant,Initial Value,Assign (Device/Label),Address,Comment,Comment 2,Comment 3,Comment 4,Comment 5,Japanese/???,English,Chinese Simplified/????,Korean/???,Chinese Traditional/????,German/Deutsch,Italian/Italiano,Reserved1,Reserved2,Reserved3,Reserved4,Remark,System Label Relation,System Label Name,Attribute
Yes,FB_SlaveHealth,BOOL,,,,,,,,,,,Feedback: Slave device health status (1=Healthy),,,,,,,,,,,,,
,FB_SlaveID,INT,,,,,,,,,,,Feedback: Slave device identification number,,,,,,,,,,,,,
,FB_PID_Command,REAL,,,,,,,,,,,Feedback: PID controller command signal,,,,,,,,,,,,,
Yes,FB_Position_Feedback,REAL,,,,,,,,,,,Feedback: Valve/actuator position feedback,,,,,,,,,,,,,
Yes,FB_Flow_Rate,REAL,,,,,,,,,,,Feedback: Current flow rate measurement,,,,,,,,,,,,,
Yes,FB_CHWS_Temp,REAL,,,,,,,,,,,Feedback: Chilled water supply temperature,,,,,,,,,,,,,
Yes,FB_CHWR_Temp,REAL,,,,,,,,,,,Feedback: Chilled water return temperature,,,,,,,,,,,,,
Yes,FB_Volume,REAL,,,,,,,,,,,Feedback: Accumulated volume measurement,,,,,,,,,,,,,
Yes,FB_Power,REAL,,,,,,,,,,,Feedback: Current power consumption/output,,,,,,,,,,,,,
Yes,FB_Energy,REAL,,,,,,,,,,,Feedback: Accumulated energy consumption/output,,,,,,,,,,,,,
,Ctrl_Initialize,INT,,,,,,,,,,,Control: Initialize/reset controller,,,,,,,,,,,,,
,Ctrl_Slave_Enabled,INT,,,,,,,,,,,Control: Enable/disable slave device (1=Enabled),,,,,,,,,,,,,
,Ctrl_Simulate,INT,,,,,,,,,,,Control: Enable simulation mode (1=Simulation active),,,,,,,,,,,,,
,Ctrl_Simulate_Health,INT,,,,,,,,,,,Control: Override health status in simulation mode,,,,,,,,,,,,,
,Ctrl_Mode,INT,,,,,,,,,,,Control: Operating mode selection,,,,,,,,,,,,,
Yes,Ctrl_Override_Value,REAL,,,,,,,,,,,Control: Override value for manual control,,,,,,,,,,,,,
,Ctrl_Reset,INT,,,,,,,,,,,Control: Reset accumulated values (Energy/Volume),,,,,,,,,,,,,
Yes,Ctrl_Manual_Override,INT,,,,,,,,,,,Control: Override control enable (1=Override active),,,,,,,,,,,,,
