Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"FB_E_Stop_FB_MA_Status","D2000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Run_Status","D2000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Trip_Status","D2000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Command","D2000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Fail_to_Start","D2000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Fail_to_Stop","D2000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Ready","D2000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Priority","D2002",Short,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_VSD_Speed_Input","D2003",Float,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_VSD_Speed_Control","D2005",Float,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_FB_Run_Hours","D2007",DWord,1,RO,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Reset","D2012.00",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Ovrd_Speed_Ctrl","D2012.07",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_Ctrl_Ovrd_Speed_Ctrl_Val","D2015",Float,1,R/W,1000,,,,,,,,,,"",
"FB_E_Stop_FB_E_Stop","D2000.03",Boolean,1,RO,1000,,,,,,,,,,"",
"HysteresisDelay_SwitchTriggered","D2250.00",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_V1_V2","D2504",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_V2_V3","D2506",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_V3_V1","D2508",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_I_1","D2510",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_I_2","D2512",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_I_3","D2514",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_Power_Factor","D2516",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_Frequency","D2518",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_Energy_Consumption","D2522",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_Active_Power","D2520",Float,1,RO,1000,,,,,,,,,,"",
"FB_SlaveReady_FB_Avg_Voltage","D2502",Float,1,RO,1000,,,,,,,,,,"",
"Ctrl_CO_Limit_Min_Ctrl_Control_Output","D2404",Float,1,R/W,1000,,,,,,,,,,"",
"Ctrl_CO_Limit_Min_Ctrl_Setpoint","D2406",Float,1,R/W,1000,,,,,,,,,,"",
"Ctrl_Simulate_Temp_FB_Temperature","D2450",Float,1,RO,1000,,,,,,,,,,"",
"Ctrl_Simulate_Temp_FB_Setpoint","D2452",Float,1,RO,1000,,,,,,,,,,"",
"Ctrl_Simulate_Temp_Ctrl_Setpoint","D2455",Float,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Confirm_Setting","D2700.01",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Confirm_Schedule","D2700.02",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Rotate_Now","D2700.03",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Control_Mode","D2700.04",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Release_Inhibit","D2700.05",Boolean,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Select_Seq_Matrix","D2704",Short,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Rotate_Day","D2705",Short,1,R/W,1000,,,,,,,,,,"",
"FB_StageDown_Delay_Counter_Ctrl_Rotate_Hour","D2706",Short,1,R/W,1000,,,,,,,,,,"",
