Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DYS_FCU_22_V3_1_EC_Fan_FB_MA_Status","D1000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Run_Status","D1000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Trip_Status","D1000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Command","D1000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Fail_to_Start","D1000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Fail_to_Stop","D1000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Ready","D1000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_State","D1001",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Priority","D1002",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Speed_Feedback","D1003",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_FB_Run_Hours","D1007",DWord,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_Ctrl_Mode","D1011",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_Ctrl_Value_Override","D1020",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_Ctrl_Reset","D1042",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_Ctrl_Manual_Override","D1043",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_FB_Process_Value","D1050",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_FB_Alarm_State","D1052",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_FB_Health","D1053.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_Ctrl_Alarm_H_Enabled","D1059",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_Ctrl_Alarm_L_Enabled","D1060",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_Ctrl_Alarm_H_SP","D1080",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_CO2_Ctrl_Alarm_L_SP","D1083",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_FB_Process_Value","D1100",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_FB_Alarm_State","D1102",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_FB_Health","D1103.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_Ctrl_Alarm_H_Enabled","D1109",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_Ctrl_Alarm_L_Enabled","D1110",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_Ctrl_Alarm_H_SP","D1130",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RH_Ctrl_Alarm_L_SP","D1133",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_FB_Process_Value","D1150",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_FB_Alarm_State","D1152",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_FB_Health","D1153.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_Ctrl_Alarm_H_Enabled","D1159",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_Ctrl_Alarm_L_Enabled","D1160",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_Ctrl_Alarm_H_SP","D1180",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_RA_Temp_Ctrl_Alarm_L_SP","D1183",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_FB_Process_Value","D1200",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_FB_Alarm_State","D1202",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_Ctrl_Alarm_H_Enabled","D1207",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_Ctrl_Alarm_L_Enabled","D1208",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_Ctrl_Alarm_H_SP","D1218",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_Ctrl_Alarm_L_SP","D1221",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_SA_Temp_FB_Health","D1203.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_DP_Filter_FB_SwitchTriggered","D1250.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_DP_Filter_Ctrl_Reset","D1252",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_DP_Filter_Ctrl_Latch_Alarm","D1253",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_Ctrl_Mode","D1322",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_Ctrl_Override_Value","D1323",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_Flow_Rate","D1306",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_CHWS_Temp","D1308",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_CHWR_Temp","D1310",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_Volume","D1312",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_SlaveHealth","D1300.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_Position_Feedback","D1304",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_Power","D1314",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_FB_Energy","D1316",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_Ctrl_Manual_Override","D1326",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_TIC_FB_Process_Value","D1351",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_TIC_Ctrl_Control_Output","D1358",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_iValve_TIC_Ctrl_Setpoint","D1360",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_TIC_FB_Process_Value","D1401",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_TIC_Ctrl_Control_Output","D1408",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_EC_Fan_TIC_Ctrl_Setpoint","D1410",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_FB_Space_Temperature","D1453",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_FB_AlarmState","D1452",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_Ctrl_Mode","D1457",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_FB_SlaveHealth","D1450.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_Ctrl_Alarm_H_Enabled","D1465",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_Ctrl_Alarm_L_Enabled","D1466",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_FB_Local_Setpoint","D1455",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_Ctrl_Alarm_H_SP","D1472",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Thermostat_Ctrl_Alarm_L_SP","D1475",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Voltage_L1_L2","D1504",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Voltage_L2_L3","D1506",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Voltage_L3_L1","D1508",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Current_L1","D1510",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Current_L2","D1512",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Current_L3","D1514",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Power_Factor","D1516",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Frequency","D1518",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Energy_Consumption","D1522",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Active_Power","D1520",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_SlaveHealth","D1500.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V3_1_Power_Meter_FB_Avg_Voltage","D1502",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_MA_Status","D2000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_Run_Status","D2000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_Trip_Status","D2000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_Command","D2000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_Fail_to_Start","D2000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_V4_1_EC_Fan_FB_Fail_to_Stop","D2000.06",Boolean,1,RO,1000,,,,,,,,,,"",
