Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DYS_FCU_22_1_EC_Fan_FB_MA_Status","D1000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Run_Status","D1000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Trip_Status","D1000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Command","D1000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Fail_to_Start","D1000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Fail_to_Stop","D1000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Ready","D1000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_State","D1001",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Priority","D1002",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Speed_Feedback","D1003",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_FB_Run_Hours","D1007",DWord,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_Ctrl_Mode","D1011",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_Ctrl_Value_Override","D1020",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_Ctrl_Reset","D1042",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_EC_Fan_Ctrl_Manual_Override","D1043",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_FB_Process_Value","D1050",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_FB_Alarm_State","D1052",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_FB_Health","D1053.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_Ctrl_Alarm_H_Enabled","D1059",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_Ctrl_Alarm_L_Enabled","D1060",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_Ctrl_Alarm_H_SP","D1080",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_CO2_Ctrl_Alarm_L_SP","D1083",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_FB_Process_Value","D1100",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_FB_Alarm_State","D1102",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_FB_Health","D1103.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_Ctrl_Alarm_H_Enabled","D1109",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_Ctrl_Alarm_L_Enabled","D1110",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_Ctrl_Alarm_H_SP","D1130",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RH_Ctrl_Alarm_L_SP","D1133",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_FB_Process_Value","D1150",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_FB_Alarm_State","D1152",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_FB_Health","D1153.00",Boolean,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_Ctrl_Alarm_H_Enabled","D1159",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_Ctrl_Alarm_L_Enabled","D1160",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_Ctrl_Alarm_H_SP","D1180",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_RA_Temp_Ctrl_Alarm_L_SP","D1183",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_FB_Process_Value","D1200",Float,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_FB_Alarm_State","D1202",Short,1,RO,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_Ctrl_Alarm_H_Enabled","D1207",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_Ctrl_Alarm_L_Enabled","D1208",Short,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_Ctrl_Alarm_H_SP","D1218",Float,1,R/W,1000,,,,,,,,,,"",
"DYS_FCU_22_1_SA_Temp_Ctrl_Alarm_L_SP","D1221",Float,1,R/W,1000,,,,,,,,,,"",
