Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SCADA_FCU_6_10_VSD_Ctrl_Bypass_Shorterlock","D0001012.02",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Fail_to_Start_SP","D0001014",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Fail_to_Stop_SP","D0001013",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Initialize","D0001012.01",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_MaxSpeed","D0001033",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_MinSpeed","D0001035",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Mode","D0001011",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Ovrd_Speed_Ctrl","D0001012.07",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Ovrd_Speed_Ctrl_Val","D0001015",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Reset","D0001012.00",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SC_EU_Max","D0001025",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SC_EU_Min","D0001027",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SC_RAW_Max","D0001029",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SC_RAW_Min","D0001031",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SI_EU_Max","D0001017",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SI_EU_Min","D0001019",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SI_RAW_Max","D0001021",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_SI_RAW_Min","D0001023",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Simulate_MA_Mode","D0001012.04",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Simulate_Mode","D0001012.03",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Simulate_Run_Status","D0001012.05",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_Ctrl_Simulate_Trip","D0001012.06",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Command","D0001000.04",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_E_Stop","D0001000.03",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Fail_to_Start","D0001000.05",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Fail_to_Stop","D0001000.06",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_MA_Status","D0001000.00",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Priority","D0001002",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Ready","D0001000.08",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Run_Hours","D0001007",DWord,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Run_Status","D0001000.01",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Shorterlock","D0001000.07",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Start_Time","D0001009",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_State","D0001001",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Stop_Time","D0001010",Short,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_Trip_Status","D0001000.02",Boolean,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_VSD_Speed_Control","D0001005",Float,1,R/W,750,,,,,,,,,,"",
"SCADA_FCU_6_10_VSD_FB_VSD_Speed_Input","D0001003",Float,1,R/W,750,,,,,,,,,,"",
