Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SCADA_FCU_22_1_EC_Fan_FB_MA_Status","D1000.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Run_Status","D1000.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Trip_Status","D1000.02",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Command","D1000.04",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Fail_to_Start","D1000.05",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Fail_to_Stop","D1000.06",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Ready","D1000.08",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_State","D1001",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Priority","D1002",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Speed_Feedback","D1003",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_FB_Run_Hours","D1007",DWord,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Mode","D1011",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Ovrd_Speed_Ctrl_Val","D1020",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Reset","D1042",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_EC_Fan_Ctrl_Ovrd_Speed_Ctrl","D1043",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CO2_FB_Process_Value","D1050",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CO2_FB_Health","D1053.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RH_FB_Process_Value","D1100",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RH_FB_Health","D1103.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RA_Temp_FB_Process_Value","D1150",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_RA_Temp_FB_Health","D1153.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_FB_Process_Value","D1200",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_FB_Alarm_State","D1202",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_Ctrl_Alarm_H_Enabled","D1207",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_Ctrl_Alarm_H_SP","D1218",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_Ctrl_Alarm_H_Delay","D1220",Word,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_SA_Temp_FB_Health","D1203.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_DP_Filter_SwitchTriggered","D1250.00",Boolean,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_DP_Filter_Reset","D1252",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Mode","D1322",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Ovrd_Val","D1323",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_FlowRate","D1306",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_CHWS_Temp","D1308",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_CHWR_Temp","D1310",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Volume","D1312",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Reset","D1326",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_SlaveHealth","D1300.01",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_PositionFeedback","D1304",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Power","D1314",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_FB_Energy","D1316",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_Ctrl_Ovrd_Ctrl","D1327",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_TIC_FB_Process_Value","D1351",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_CV_TIC_Ctrl_Setpoint","D1360",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_VSD_TIC_FB_Process_Value","D1401",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_VSD_TIC_Ctrl_Setpoint","D1410",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_Temperature","D1453",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Setpoint","D1458",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_AlarmState","D1452",Short,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Simulate","D1456",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Simulate_PV","D1460",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_FB_SlaveHealth","D1450.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Simulate_Health","D1457",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_H_Enabled","D1462",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_HH_Enabled","D1464",Short,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_HH_SP","D1467",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_HH_Delay","D1469",Word,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_H_SP","D1470",Float,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_Thermostat_Ctrl_Alarm_H_Delay","D1472",Word,1,R/W,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V1_V2","D1504",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V2_V3","D1506",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_V3_V1","D1508",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_1","D1510",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_2","D1512",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_I_3","D1514",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Power_Factor","D1516",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Frequency","D1518",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Energy_Consumption","D1522",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Active_Power","D1520",Float,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_SlaveHealth","D1500.00",Boolean,1,RO,1000,,,,,,,,,,"",
"SCADA_FCU_22_1_PM_FB_Avg_Voltage","D1502",Float,1,RO,1000,,,,,,,,,,"",
